_id,language,corpus_id,code
e6cb5293-0ba6-4816-82f4-7caf447fa84c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,<<START>>
2ca4acd7-d0f8-45d2-98ce-d270e86b6489,es,e293ef3c-db3f-447f-b59d-e0975c327f95,N00
ccfa9bdb-5326-4921-8739-20c95cb33702,es,e293ef3c-db3f-447f-b59d-e0975c327f95,N
424c9e6d-0c4b-4125-b6bf-2dd021b08101,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIP3S
bffdc6d9-6580-4ce6-95f4-5acbdead8899,es,e293ef3c-db3f-447f-b59d-e0975c327f95,V
a078b62e-9d11-4450-8374-6acb300c0356,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DAS
50e777f6-8293-4fbd-85e2-b691229b2757,es,e293ef3c-db3f-447f-b59d-e0975c327f95,D
9926f141-6a38-438e-9ad0-eb6550d8f10a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,NMS
b2666eeb-f331-4829-9a49-9496392db4c7,es,e293ef3c-db3f-447f-b59d-e0975c327f95,SPS00
4e5d9050-0b30-46e2-be7e-3f49d5c0a059,es,e293ef3c-db3f-447f-b59d-e0975c327f95,S
cf503d05-6cdb-49af-a3dc-de76e42eb56c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,NFS
94e37d61-460d-4187-bfd9-7edb67150172,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VP00S
dc83cc7c-8e74-436d-9d2b-affc9c464579,es,e293ef3c-db3f-447f-b59d-e0975c327f95,R
da8fb12a-548b-4668-9a07-7420df0978b4,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ACS
2ca3caba-018d-4fbf-bd01-35ababa067d7,es,e293ef3c-db3f-447f-b59d-e0975c327f95,A
3fd28d4f-6e9f-43c7-8824-e9f48dc8c06e,es,e293ef3c-db3f-447f-b59d-e0975c327f95,CC
f181d4e4-6e76-4ce7-9161-8b134167a107,es,e293ef3c-db3f-447f-b59d-e0975c327f95,C
5a98b8b1-b868-4907-bef1-6eb2a3df02d8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIS3S
3d788973-6639-4396-b25f-1f0c41a0b371,es,e293ef3c-db3f-447f-b59d-e0975c327f95,AFS
b50c2b58-f38e-4b74-9a3c-c976deadd0e8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PRCS
264a0f00-3074-4c17-980a-133e2428e36e,es,e293ef3c-db3f-447f-b59d-e0975c327f95,P
10f1f8eb-38ef-4b3e-9c22-304dc9e50ee7,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DIS
4b684f9a-2468-4094-83d9-158810d4ac0c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PIFS
08c0076b-b96c-4b0b-90e2-9c25d22c56f6,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DAP
976afdac-7234-4b6a-ade4-ea83d9368dfb,es,e293ef3c-db3f-447f-b59d-e0975c327f95,NFP
3c05570c-ede6-4403-9ca1-732841224750,es,e293ef3c-db3f-447f-b59d-e0975c327f95,NCP
3a943689-fa8e-4d28-9c7a-f4ab2606c9d6,es,e293ef3c-db3f-447f-b59d-e0975c327f95,P000
43d6ce82-f976-495d-8cd1-3c5f12cecf37,es,e293ef3c-db3f-447f-b59d-e0975c327f95,CS
8f99222b-c353-4cd0-8f47-d621db88625c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VG000
87b51aae-49cb-4739-97f8-d3d0f334acd5,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DIP
ac633486-7a0b-428b-88ff-60bd41cbbee0,es,e293ef3c-db3f-447f-b59d-e0975c327f95,NMP
728a8001-9f25-4728-87e1-4625f36897a5,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIP3P
1e27cab3-fceb-4ee5-b651-c204605a59c2,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DPS
f9be60b8-7774-4432-980c-ec1b56104aa5,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ACP
71100d4a-6dbf-400f-91d6-bef19d37af8a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,AFP
91d6cbff-3539-44ae-bd2d-9777cf62bc70,es,e293ef3c-db3f-447f-b59d-e0975c327f95,AMS
54b9922d-040f-406e-a67c-3e3b6d53625a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PRCN
40524bde-bf03-4769-82df-8e2b7b9568f9,es,e293ef3c-db3f-447f-b59d-e0975c327f95,NMN
ed5853b2-9dbd-40d3-9247-ed70cd34f9a2,es,e293ef3c-db3f-447f-b59d-e0975c327f95,AMP
30475949-7305-4c4a-b374-b9eb5d4e8c0c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DDS
dad286da-86b0-40c5-a95a-f94c412746e6,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PDMS
ec1c2ed6-17f8-4bf3-b8b0-2434fb78e8ae,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VP00P
31219f57-8fbb-44a7-9b5a-d0ef82cfedea,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VN000
df86d9ba-ab05-4901-a3b7-630ba3cfac7b,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VII1S
b95eafc7-c419-4b54-8cf1-91428dcf0761,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PPCN
035b932e-f5bf-4540-89a6-481dbf4566a8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PDMP
f341b7be-4475-4889-a72b-d823b312939f,es,e293ef3c-db3f-447f-b59d-e0975c327f95,I
9ce1aa9a-1e0a-4b9b-9839-aad3b583565a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PR00
4228c0a4-9d66-4ca5-9752-8452020b797e,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PPMP
af51d0a0-3486-4cf3-bdf9-f729fd043cd9,es,e293ef3c-db3f-447f-b59d-e0975c327f95,NCS
498dedbe-ab7d-497b-92da-2ec493f260c9,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIF3P
ec3de9b7-400e-49fe-ac66-c5fd2ff01bc6,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSP1S
822129f0-6420-452b-9fde-9622c13c8e43,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PRFP
d14f6932-2cee-4831-bb9a-134bdc86e573,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VII3P
47a7b0c3-4ea9-4804-a3da-f25b4bc284e2,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIS3P
00f6df15-cd56-42bc-81b2-c474e2d442a6,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIC3P
33f5cc51-ee51-4e9e-8a8c-84f728485df4,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIP1S
1871cbc0-4dc0-405f-a308-979e11fcc068,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PPMS
5d4a7f09-a44c-4b0e-bf08-7b9b1884fb4d,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PPCP
2b3697db-f23a-4f85-b66b-f3bdd8b45ff2,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DPP
e73d0c4a-71e2-40dd-a790-daa4d737fc3a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSI1S
015b1460-07f8-403a-83ad-b203e1c63514,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIC1S
b199d178-1083-4413-b2ec-66d2e615946f,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PIMS
bbbc2ac9-dd11-4966-af5c-97b4e8573504,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PPCS
0d3f275d-6246-44bf-aae4-b51dd8f986ab,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PPFS
5ad88f77-4f78-4805-8628-d05a3c579edd,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PIMP
cc3b08da-77eb-419c-9153-ace39d3b7321,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PRCP
ae584a82-5f67-4c55-9d24-bfdb0c73a323,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PDNS
3bedd76e-ce0d-4358-baea-c2b221af5e2c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DDP
457d2cfb-e030-44cc-a2da-eab7e21ceb72,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSP3P
de652c05-1b9f-4858-92e1-f1f1b4328137,es,e293ef3c-db3f-447f-b59d-e0975c327f95,NFN
be067227-3db0-4b45-8b8a-a9d6c728e2e2,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSI3P
b80a7eca-6873-47a3-a1a2-7936a28f29ac,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PRFS
fe100030-b1f6-4e05-86cb-58537d1745d5,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PDFS
a87a672a-58ef-4699-b1fb-576b353c8e2a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PPNS
8006ec4e-ffc6-432e-91f9-e5e8b14f40e8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PPFP
9f7dd7be-d5a2-477a-9f27-ce0770809970,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSP2S
0d6ebff7-41aa-4a97-8c96-c400d1d6fe9c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ACN
b4bc6be3-2db0-4741-b3ea-3b85d5ea7c37,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VM02S
14d28345-a231-4bd4-ad07-1c1bc82afe11,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PIFP
7c2a4024-fffb-4faf-904a-ffc5d74d48fd,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VII3S
